#  #1,  #2,  #3,  #4 
0.00,0.00,-0.20,0.00
0.00,-0.20,-0.36,0.00
0.00,-0.36,-0.36,-0.36
0.00,-0.36,0.78,0.00
0.00,-0.49,-0.58,0.00
0.00,0.00,-0.49,-0.49
-0.20,-0.23,-0.20,0.00
-0.20,-0.37,-0.20,-0.20
-0.36,1.14,-0.20,-0.20
-0.36,-0.47,14.19,0.00
-0.36,-0.20,-0.20,1.14
-0.49,0.00,-0.59,0.00
-0.20,0.00,0.00,0.00
-0.20,0.00,0.00,0.00
-0.20,0.00,0.00,0.00
62.61,0.00,0.00,20.00
-0.20,-0.20,-0.20,5.63
-0.49,0.00,-0.59,-0.20
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
-0.36,-0.49,0.00,0.00
-0.49,0.00,0.00,-0.59
