#  #1,  #2,  #3,  #4 
0.00,0.00,0.00,0.00
0.00,-0.36,0.00,0.00
0.00,-0.59,-0.66,-0.20
0.00,-0.49,-0.49,-0.49
0.00,0.00,-0.65,-0.49
0.00,0.00,-0.49,-0.20
0.00,0.00,0.00,0.00
-0.20,-0.24,0.00,0.00
-0.36,0.48,-0.36,-0.36
-0.36,-0.39,12.06,-0.20
-0.36,-0.36,-0.36,0.35
-0.59,0.00,-0.20,-0.23
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
-0.20,3.00,-0.20,0.00
61.64,0.00,0.00,0.00
-0.20,0.00,0.00,0.00
-0.20,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
-0.20,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
